seed,arm,event_type,subgraph,n_connections,trace_src_positive_rate,phi_tgt_positive_rate,support_rate,trace_l1,phi_l1,raw_l1,dW_l1,tag_delta_l1,support_over_trace_phi_expected,trace_phi_overlap_index,support_concentration_by_subgraph,h_mean_supported,h_mean_unsupported,h_support_ratio,corr_h_trace_src,corr_h_phi_tgt,corr_h_support,LL_special_case_flag,RR_seed_split_flag,R_event_collapse_flag,support_decomposition_verdict,trace_count,phi_count,support_count
42,divergent_warmup_replay,R,M,1032,0.0,0.122093,0.0,0.0,0.62967,0.0,0.0,0.0,nan,nan,0.0,nan,0.117047,nan,nan,-0.098817,nan,0,0,1,support_geometry_mixed,0,126,0
42,divergent_warmup_replay,R,ML,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.126242,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,R,MM,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.112852,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,R,MR,1032,0.0,0.122093,0.0,0.0,0.62967,0.0,0.0,0.0,nan,nan,0.0,nan,0.117047,nan,nan,-0.098817,nan,0,0,1,support_geometry_mixed,0,126,0
42,divergent_warmup_replay,R,R,5628,0.103056,0.0,0.0,2.693701,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.122588,nan,-0.008594,nan,nan,0,0,1,support_geometry_mixed,580,0,0
42,divergent_warmup_replay,R,R,828,0.078502,0.0,0.0,0.305393,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.124893,nan,-0.053632,nan,nan,0,0,1,support_geometry_mixed,65,0,0
42,divergent_warmup_replay,R,R,5766,0.11273,0.125911,0.013874,3.09033,4.004298,0.002877,0.000317,0.000317,0.977495,0.123077,0.013874,0.092136,0.111774,0.8243,-0.063351,-0.104953,-0.028608,0,0,1,h_not_upstream_of_9C_support,650,726,80
42,divergent_warmup_replay,R,RL,5628,0.103056,0.0,0.0,2.693701,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.122588,nan,-0.008594,nan,nan,0,0,1,support_geometry_mixed,580,0,0
42,divergent_warmup_replay,R,RM,828,0.078502,0.0,0.0,0.305393,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.124893,nan,-0.053632,nan,nan,0,0,1,support_geometry_mixed,65,0,0
42,divergent_warmup_replay,R,RR,5766,0.11273,0.125911,0.013874,3.09033,4.004298,0.002877,0.000317,0.000317,0.977495,0.123077,0.013874,0.092136,0.111774,0.8243,-0.063351,-0.104953,-0.028608,0,1,1,RR_overlap_geometry_split,650,726,80
