seed,arm,step,mean_activation,mean_energy,lr_imbalance,event_count_L,event_count_R,total_events,final_weight_l1,mean_inter_event_interval
42,circular_shift,4000,0.3649131283667312,0.3414027167799223,0.020629731906521787,0,15,15,0.19521440704820564,1326.5
42,circular_shift,6000,0.3561833987436792,0.35877779418666195,0.05420424337966823,0,15,15,0.19521440704820564,1326.5
42,circular_shift,8000,0.34622964078066143,0.35345436827260823,0.033692551122647685,0,15,15,0.19521440704820564,1326.5
42,circular_shift,10000,0.34668433498998413,0.35178870735857753,0.038023771035937515,0,15,15,0.19521440704820564,1326.5
42,circular_shift,12000,0.3380899480305801,0.34777794091533376,0.048979186218210236,0,15,15,0.19521440704820564,1326.5
42,circular_shift,14000,0.3405722783417485,0.3501445050818369,0.03660655212132208,0,15,15,0.19521440704820564,1326.5
42,circular_shift,16000,0.32626306127810495,0.339477946884747,0.06007414822245505,0,15,15,0.19521440704820564,1326.5
42,circular_shift,18000,0.2955960746760576,0.3539607440931748,0.02911271032191476,0,15,15,0.19521440704820564,1326.5
42,circular_shift,20000,0.31680205466151107,0.33210425875814154,0.05601973029855134,0,15,15,0.19521440704820564,1326.5
999,open_loop_poisson,2000,0.34936378715071875,0.3728711491555232,-0.002391007007752022,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,4000,0.30555766575763527,0.42697061126029895,0.0030533105495771373,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,6000,0.2979850028785127,0.40233293833829126,-0.004898954589794835,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,8000,0.30016689862102186,0.3886935928939941,-0.002314370758262907,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,10000,0.3030747670154101,0.3801004759463075,0.023545152915513956,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,12000,0.2877821128514299,0.39100045055049343,0.017853229936410087,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,14000,0.29824626482616606,0.4011793246444373,0.008029482960878798,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,16000,0.28485815331317016,0.3701790559163543,-0.0004895401180151637,69,44,113,0.19673012057392567,177.71428571428572
999,open_loop_poisson,18000,0.27588173673336674,0.37545673903385174,0.019690553185819748,69,44,113,0.19673012057392567,177.71428571428572
