condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec,manip_tc_tc_std_after,manip_tc_tc_mean_after,manip_tc_factor,manip_lr_lr_abs_weight_mean_after,manip_lr_lr_connection_count,manip_lr_lr_abs_weight_mean_before,manip_lr_factor
lr_high,A_L,L then R,0.0001,120000,0.30554590325808195,0.3686696911219959,0.44,0.001349133364032121,0.34564509914678465,0.2999999999999999,2.300786370501645,490.28602623939514,0.11322173380380689,0.9966671430298739,1.0,0.5280806321805173,16,0.3391232897360154,2.0
lr_high,A_R,R then L,0.0001,120000,0.31658610944219023,0.38431478670569075,0.44666666666666666,0.0013455554131689299,0.3456468874139143,0.29999999999999927,2.212150606950531,437.72687888145447,0.11322173380380689,0.9966671430298739,1.0,0.5280806321805173,16,0.3391232897360154,2.0
lr_high,C,repeat A_L,0.0001,120000,0.30554590325808195,0.3686696911219959,0.44,0.001349133364032121,0.34564509914678465,0.2999999999999999,2.300786370501645,429.0773391723633,0.11322173380380689,0.9966671430298739,1.0,0.5280806321805173,16,0.3391232897360154,2.0
lr_high,D_L,plasticity off (L then R),0.0,120000,0.37961079887708526,0.3910957576142573,0.5,0.0011053032309955417,0.5721338191182107,0.49576955005098533,2.1054386839936634,326.57201647758484,0.11322173380380689,0.9966671430298739,1.0,0.5280806321805173,16,0.3391232897360154,2.0
lr_high,D_R,plasticity off (R then L),0.0,120000,0.3784409116491936,0.37995545608315645,0.5033333333333333,0.0011053032309955417,0.5721338191182107,0.49576955005098533,2.1957473027594556,382.29327273368835,0.11322173380380689,0.9966671430298739,1.0,0.5280806321805173,16,0.3391232897360154,2.0
high_std+lr_high,A_L,L then R,0.0001,120000,0.32871748513407023,0.33208602093655104,0.48,0.001325934727177051,0.34567273651258446,0.2999999999999994,2.342840356762458,415.17259645462036,0.22644346760761377,0.9966671430298739,2.0,0.5280806321805173,16,0.3391232897360154,2.0
high_std+lr_high,A_R,R then L,0.0001,120000,0.30873546930121554,0.3678599701338068,0.43666666666666665,0.00132528073645505,0.3456736178366929,0.2999999999999998,2.310738528156374,341.6213581562042,0.22644346760761377,0.9966671430298739,2.0,0.5280806321805173,16,0.3391232897360154,2.0
high_std+lr_high,C,repeat A_L,0.0001,120000,0.32871748513407023,0.33208602093655104,0.48,0.001325934727177051,0.34567273651258446,0.2999999999999994,2.342840356762458,388.89689350128174,0.22644346760761377,0.9966671430298739,2.0,0.5280806321805173,16,0.3391232897360154,2.0
high_std+lr_high,D_L,plasticity off (L then R),0.0,120000,0.37079617120435343,0.3724111421558839,0.49333333333333335,0.0011053032309955417,0.5721338191182107,0.49576955005098533,2.2120664998855064,291.8923661708832,0.22644346760761377,0.9966671430298739,2.0,0.5280806321805173,16,0.3391232897360154,2.0
high_std+lr_high,D_R,plasticity off (R then L),0.0,120000,0.3765290434149715,0.38530949152762645,0.5066666666666667,0.0011053032309955417,0.5721338191182107,0.49576955005098533,2.1541613052513435,317.9587709903717,0.22644346760761377,0.9966671430298739,2.0,0.5280806321805173,16,0.3391232897360154,2.0
