anomaly_variant,seed,condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,post_anomaly_mean_activation,elapsed_sec
repeated_micro_overlap,77,normal,C,repeat A_L,0.0001,120000,0.32004751569466655,0.3328856006816648,0.48333333333333334,0.004689161377862304,0.345770379609568,0.2999999999999996,2.4058179365048815,0.29957348163212977,568.5952200889587
repeated_micro_overlap,77,normal,D_L,plasticity off (L then R),0.0,120000,0.37113381999731115,0.3457695108319157,0.49333333333333335,0.00688887870911202,0.580340173609918,0.5028209910834263,2.3139869499906647,0.3927501139861015,389.4114623069763
repeated_micro_overlap,77,normal,D_R,plasticity off (R then L),0.0,120000,0.3769036338970292,0.3399254479179543,0.5066666666666667,0.00688887870911202,0.580340173609918,0.5028209910834263,2.396422495083847,0.3563301875313193,396.481565952301
repeated_micro_overlap,77,anomaly,A_L,L then R,0.0001,120000,0.3055584083947299,0.35300260963153285,0.45666666666666667,0.004688736920316342,0.3457703555345202,0.30000000000000054,2.355201661685665,0.30261151377076007,570.6823632717133
repeated_micro_overlap,77,anomaly,A_R,R then L,0.0001,120000,0.3102050328174202,0.345317339736614,0.45,0.004688152971767294,0.34576885059602136,0.30000000000000043,2.374467821927265,0.2928444607995483,575.5602140426636
repeated_micro_overlap,77,anomaly,C,repeat A_L,0.0001,120000,0.3055584083947299,0.35300260963153285,0.45666666666666667,0.004688736920316342,0.3457703555345202,0.30000000000000054,2.355201661685665,0.30261151377076007,580.4156496524811
repeated_micro_overlap,77,anomaly,D_L,plasticity off (L then R),0.0,120000,0.3800717526621744,0.3384821869759166,0.52,0.00688887870911202,0.580340173609918,0.5028209910834263,2.3421333020627597,0.34816708680057384,391.11039447784424
repeated_micro_overlap,77,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3668734781185516,0.3589376254299798,0.5,0.00688887870911202,0.580340173609918,0.5028209910834263,2.302080551228474,0.367858685603812,373.45530819892883
repeated_micro_overlap,123,normal,A_L,L then R,0.0001,120000,0.3142691152415527,0.3800244348772733,0.44666666666666666,0.0013381173825419096,0.34570034990343784,0.29999999999999966,2.257419310428692,0.3076739753517995,564.4068171977997
repeated_micro_overlap,123,normal,A_R,R then L,0.0001,120000,0.3158048274523835,0.38170328589344904,0.44333333333333336,0.001339741135383742,0.34569817714721524,0.30000000000000043,2.2719442162159855,0.3250624033796963,568.688817024231
repeated_micro_overlap,123,normal,C,repeat A_L,0.0001,120000,0.3142691152415527,0.3800244348772733,0.44666666666666666,0.0013381173825419096,0.34570034990343784,0.29999999999999966,2.257419310428692,0.3076739753517995,567.8938715457916
repeated_micro_overlap,123,normal,D_L,plasticity off (L then R),0.0,120000,0.37995870180872715,0.38334489463997135,0.49,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.2312852929758558,0.3911466819559189,390.70773482322693
repeated_micro_overlap,123,normal,D_R,plasticity off (R then L),0.0,120000,0.38963703783702336,0.3828795989941756,0.5166666666666667,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1855712803749574,0.37385309716025306,392.8644473552704
repeated_micro_overlap,123,anomaly,A_L,L then R,0.0001,120000,0.3234658685900922,0.3470313645617711,0.4766666666666667,0.0013397332472193514,0.3456987533288496,0.30000000000000043,2.297497892940968,0.3136673812428759,567.0947437286377
repeated_micro_overlap,123,anomaly,A_R,R then L,0.0001,120000,0.3148034724349478,0.3771710671787264,0.44333333333333336,0.0013374561443667997,0.3457000635731208,0.2999999999999993,2.2454755932719808,0.3136370167348062,566.5027680397034
repeated_micro_overlap,123,anomaly,C,repeat A_L,0.0001,120000,0.3234658685900922,0.3470313645617711,0.4766666666666667,0.0013397332472193514,0.3456987533288496,0.30000000000000043,2.297497892940968,0.3136673812428759,567.469450712204
repeated_micro_overlap,123,anomaly,D_L,plasticity off (L then R),0.0,120000,0.3801206126232766,0.4033024340145631,0.5,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.126209873949226,0.39099058215128873,392.4522795677185
repeated_micro_overlap,123,anomaly,D_R,plasticity off (R then L),0.0,120000,0.38573070285748706,0.37247718809711605,0.5133333333333333,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.2181719616231708,0.37625348566917877,388.06872487068176
repeated_micro_overlap,999,normal,A_L,L then R,0.0001,120000,0.2691457147874355,0.36983780801711397,0.4,-0.0011031210700535123,0.346154447594498,0.3000000000000004,2.2971747759121226,0.27022548316361567,571.4101040363312
repeated_micro_overlap,999,normal,A_R,R then L,0.0001,120000,0.27638182885612705,0.37660697067481247,0.41333333333333333,-0.0011006712575218265,0.34615130070673744,0.30000000000000043,2.2722707945044833,0.26073561684607055,579.0142230987549
repeated_micro_overlap,999,normal,C,repeat A_L,0.0001,120000,0.2691457147874355,0.36983780801711397,0.4,-0.0011031210700535123,0.346154447594498,0.3000000000000004,2.2971747759121226,0.27022548316361567,571.9145472049713
repeated_micro_overlap,999,normal,D_L,plasticity off (L then R),0.0,120000,0.2995457620114762,0.42746052762441666,0.41333333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.0974906483488978,0.31329696056886586,391.46477937698364
repeated_micro_overlap,999,normal,D_R,plasticity off (R then L),0.0,120000,0.30045015694750693,0.44666667548837696,0.3933333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.0745081639416654,0.3325707674472185,396.13186264038086
repeated_micro_overlap,999,anomaly,A_L,L then R,0.0001,120000,0.2728752148597954,0.35390908502275087,0.43,-0.001099993640570593,0.34615129407279854,0.2999999999999992,2.4216428559214225,0.2676095704325574,572.5692603588104
repeated_micro_overlap,999,anomaly,A_R,R then L,0.0001,120000,0.2633777051165832,0.3569903648065704,0.39,-0.0011012025702198133,0.34615101645983665,0.2999999999999997,2.2325499096434074,0.277221050862896,574.29621052742
repeated_micro_overlap,999,anomaly,C,repeat A_L,0.0001,120000,0.2728752148597954,0.35390908502275087,0.43,-0.001099993640570593,0.34615129407279854,0.2999999999999992,2.4216428559214225,0.2676095704325574,577.8084628582001
repeated_micro_overlap,999,anomaly,D_L,plasticity off (L then R),0.0,120000,0.33322462121613866,0.37262468471283383,0.44666666666666666,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.1919247019867107,0.30330892964296613,391.77610993385315
repeated_micro_overlap,999,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3193467842974826,0.3881323867664677,0.43666666666666665,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.195247046963416,0.3604692218512485,369.5244722366333
