seed,arm,event_type,subgraph,n_connections,n_tagged,tag_rate,h_tag_ratio,phi_tag_ratio,surprise_tag_ratio,novelty_tag_ratio,mean_h_tagged,mean_h_untagged,mean_phi_tagged,mean_phi_untagged,auc_novelty,auc_phi,auc_surprise,auc_pos,auc_neg,auc_inverted_h,auc_baseline_weight,auc_abs_dW,best_predictor,matched_phi_novelty_auc,matched_h_phi_auc,dW_l1_tagged,dW_l1_untagged,corr_abs_dW_tag_strength,subgraph_verdict
42,divergent_warmup_replay,R,RR,5766,80,0.013874,0.8243,0.74177,0.521391,1.161266,0.092136,0.111774,0.24803,0.334376,0.641611,0.392424,0.298079,0.428832,0.380984,0.609451,0.498457,1.0,abs_dW,0.592467,0.510379,0.000317,0.0,1.0,raw_9C_geometry_root
42,exact_replay,ALL,ALL,53820,223,0.004143,0.949199,0.866674,0.830664,1.081487,0.121626,0.128135,0.312293,0.360335,0.565244,0.437956,0.433468,0.428407,0.462923,0.534468,0.495001,1.0,abs_dW,0.522908,0.502648,0.0011,0.0,1.0,raw_9C_geometry_root
42,exact_replay,ALL,LL,11808,30,0.002541,1.252908,1.296857,0.822337,0.82132,0.163946,0.130853,0.475897,0.366962,0.411663,0.600719,0.459925,0.557961,0.51142,0.420032,0.489707,1.0,abs_dW,0.476751,0.604361,0.000162,0.0,1.0,raw_9C_geometry_root
42,exact_replay,ALL,LM,1824,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,ALL,LR,11352,78,0.006871,1.129644,1.006287,1.103122,0.972642,0.150021,0.132804,0.376281,0.37393,0.479695,0.511714,0.535962,0.36675,0.553991,0.444532,0.473625,1.0,abs_dW,0.523449,0.40452,0.000283,0.0,1.0,raw_9C_geometry_root
42,exact_replay,ALL,ML,2100,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,ALL,MM,228,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,ALL,MR,2064,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,ALL,RL,11256,35,0.003109,0.486641,0.47583,0.617507,1.338684,0.063485,0.130456,0.17437,0.366455,0.763925,0.245178,0.355896,0.614076,0.377952,0.729232,0.552222,1.0,abs_dW,0.71478,0.453033,0.000338,0.0,1.0,raw_9C_geometry_root
42,exact_replay,ALL,RM,1656,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,ALL,RR,11532,80,0.006937,0.875553,0.745419,0.666367,1.148805,0.103506,0.118218,0.248895,0.3339,0.619998,0.388998,0.36681,0.36131,0.415382,0.575767,0.492843,1.0,abs_dW,0.529645,0.477719,0.000317,0.0,1.0,raw_9C_geometry_root
42,exact_replay,L,ALL,26910,65,0.002415,0.934561,0.872369,0.765668,1.088075,0.109852,0.117544,0.313537,0.359408,0.591059,0.419696,0.416933,0.47992,0.453632,0.54829,0.516783,1.0,abs_dW,0.498061,0.567737,0.0005,0.0,1.0,raw_9C_geometry_root
