seed,arm,capture_index,capture_step,capture_signal,tag_mass,slow_delta_l1,h_l1,h_mean,h_max,h_concentration,h_effective_support,h_gini,h_tag_cosine,tag_weighted_h,h_tagged_mean,h_untagged_mean,h_tag_ratio,h_capture_corr,h_weighted_slow_delta
77,divergent_warmup_replay,1,502,1.0,0.0,0.0,20.23473015,0.0674491,0.17017269,0.00587975,170.0754,0.48960424,0.0,0.0,0.0,0.06726129,0.0,0.0,0.0
77,divergent_warmup_replay,2,1003,1.0,0.00019504,1.95e-05,24.62445798,0.08208153,0.20726621,0.00588446,169.9392,0.49070005,0.07368313,0.08487913,0.08019905,0.0818787,0.979486,0.00499412,0.0
77,divergent_warmup_replay,3,1504,1.0,0.00037145,3.714e-05,28.68218432,0.09560728,0.24246196,0.00592701,168.7191,0.49451584,0.0774829,0.09980877,0.09336838,0.09540653,0.978637,0.00651145,1e-08
77,divergent_warmup_replay,4,2005,1.0,0.00043596,4.359e-05,32.45752136,0.10819174,0.27587751,0.00597009,167.5018,0.49813742,0.07785049,0.11244828,0.10581296,0.10794256,0.980271,0.00590893,1e-08
77,divergent_warmup_replay,5,2506,1.0,0.00058932,5.892e-05,36.25190268,0.12083968,0.30770802,0.00592146,168.8772,0.49460039,0.07909071,0.12629128,0.11868738,0.12061502,0.984018,0.00676316,1e-08
77,divergent_warmup_replay,6,3007,1.0,0.00053313,5.33e-05,39.76266996,0.13254223,0.33732796,0.00590817,169.257,0.49377374,0.0789881,0.13821906,0.13034592,0.1322979,0.985246,0.00645193,1e-08
77,divergent_warmup_replay,7,3508,1.0,0.00067715,6.77e-05,43.15404252,0.14384681,0.36599485,0.00586945,170.3738,0.49089436,0.07851885,0.15035297,0.14070403,0.14364768,0.979508,0.00672771,2e-08
77,divergent_warmup_replay,8,4009,1.0,0.0008074,8.072e-05,46.4932026,0.15497734,0.39300719,0.00584158,171.1866,0.48885952,0.07686569,0.16181083,0.15240186,0.1547798,0.984637,0.00643009,2e-08
77,divergent_warmup_replay,9,4510,1.0,0.00082537,8.252e-05,49.5687929,0.16522931,0.4189905,0.00584289,171.1481,0.48901225,0.07524186,0.17312198,0.16219523,0.16499318,0.983042,0.00679837,2e-08
77,divergent_warmup_replay,10,5011,1.0,0.00074668,7.465e-05,52.44871852,0.17482906,0.44365765,0.00583966,171.2429,0.48884305,0.07525061,0.18322342,0.17115042,0.17463298,0.980058,0.00679886,2e-08
