seed,gap,mode,arm,total_events,event_count_L,event_count_R,final_weight_l1,pair_interval,num_pairs_target,completed_pairs,first_L_step,first_R_step,last_L_step,last_R_step,L_to_R_signed_mean,R_to_L_signed_mean,L_to_R_l1,R_to_L_l1,crossing_per_unit_mean,crossing_per_unit_median,crossing_per_unit_min,crossing_per_unit_max,frac_steps_with_crossing,mean_inter_crossing_interval,crossing_balance_lr,crossing_q4_q1_ratio
999,500,threshold_crossing,L_then_R,10,5,5,0.0674480308292582,1080,5,5,200,700,4520,5020,-0.0011196675785353665,2.6116329108469994e-05,0.06887955075022996,0.0659118799723765,4.613333333333333,2.0,0,22,0.19827586206896552,1257.2254335260116,0.12593828190158465,0.9173553719008265
999,500,threshold_crossing,R_then_L,10,5,5,0.06743968621064825,1080,5,5,700,200,5020,4520,-0.001118062976490972,2.986120524870673e-05,0.06887260532517792,0.06590130069328007,5.406666666666666,3.0,0,21,0.23482758620689656,1072.7496917385945,0.12724658519051044,0.8597701149425288
999,500,threshold_crossing,simultaneous,10,5,5,0.06744477868636928,1080,5,5,200,200,4520,4520,-0.0011211788921970738,2.9211752064078008e-05,0.06888053469089873,0.06590798404346128,4.816666666666666,3.0,0,22,0.20293103448275862,1204.152249134948,0.12479740680713128,0.8602941176470588
999,500,threshold_crossing,separated_control,10,5,5,0.0674429793442907,1080,5,5,200,740,4520,5060,-0.0011197647509656806,2.716162959298676e-05,0.06887605883609073,0.06590558745495065,4.953333333333333,3.0,0,21,0.21293103448275863,1170.92866756393,0.13555383423702555,0.8430379746835444
999,1000,OFF,L_then_R,10,5,5,0.09366321739044722,1580,5,5,200,1200,6520,7520,-0.0015617786576693437,3.080662055563503e-05,0.0956519683761219,0.0915309235813226,,,,,,,,
999,1000,OFF,R_then_L,10,5,5,0.09366027075407309,1580,5,5,1200,200,7520,6520,-0.0015598323481078268,3.379779822076391e-05,0.09564820849457935,0.0915245410742373,,,,,,,,
999,1000,OFF,simultaneous,10,5,5,0.09366194914242612,1580,5,5,200,200,6520,6520,-0.0015628947176315091,3.1030376391186433e-05,0.09565253425285972,0.09152821882412542,,,,,,,,
999,1000,OFF,separated_control,10,5,5,0.09366549277151472,1580,5,5,200,990,6520,7310,-0.0015629476774283889,3.069055820441656e-05,0.0956541398494457,0.09153058281640182,,,,,,,,
999,1000,activity,L_then_R,10,5,5,0.09366881172219675,1580,5,5,200,1200,6520,7520,-0.0014601195153167556,0.00012792862666705652,0.09564874055425364,0.09154345833065441,,,,,,,,
999,1000,activity,R_then_L,10,5,5,0.09366063174638584,1580,5,5,1200,200,7520,6520,-0.0014407004206491965,0.00014313873479591537,0.09564246682109237,0.09153636843871303,,,,,,,,
999,1000,activity,simultaneous,10,5,5,0.09366349797137745,1580,5,5,200,200,6520,6520,-0.0014422697918825232,0.00015201136969400942,0.09565189921261816,0.09153094801213577,,,,,,,,
999,1000,activity,separated_control,10,5,5,0.09366376449248752,1580,5,5,200,990,6520,7310,-0.0014689721843755517,0.0001252352529174689,0.09564239070729295,0.09153516544960369,,,,,,,,
999,1000,onset,L_then_R,10,5,5,0.09366608146726317,1580,5,5,200,1200,6520,7520,-0.0015663972143244304,2.9953445674740774e-05,0.09565666158167128,0.091533102119697,,,,,,,,
999,1000,onset,R_then_L,10,5,5,0.09366157657257938,1580,5,5,1200,200,7520,6520,-0.0015609271090491273,3.15756352879899e-05,0.09564976601561817,0.0915276313642743,,,,,,,,
999,1000,onset,simultaneous,10,5,5,0.09366248554478429,1580,5,5,200,200,6520,6520,-0.0015605643009750398,3.193237891706799e-05,0.09565204426696916,0.09152560729594046,,,,,,,,
999,1000,onset,separated_control,10,5,5,0.09366366761712103,1580,5,5,200,990,6520,7310,-0.00156325991319939,3.2569112065862516e-05,0.09565188786899873,0.0915290710567726,,,,,,,,
999,1000,threshold_crossing,L_then_R,10,5,5,0.09364683669851591,1580,5,5,200,1200,6520,7520,-0.0015576744973700418,3.456775875549895e-05,0.09563578832749291,0.0915106802244933,6.586666666666667,3.5,0,32,0.202289156626506,1260.1214574898786,0.17963721474546518,0.899047619047619
999,1000,threshold_crossing,R_then_L,10,5,5,0.09364022837381017,1580,5,5,1200,200,7520,6520,-0.00155358027367139,3.780100087217387e-05,0.09562757890027665,0.09150593888073548,7.5,5.0,0,29,0.22819277108433736,1106.6666666666667,0.16216216216216217,0.8507223113964687
999,1000,threshold_crossing,simultaneous,10,5,5,0.09364604296486767,1580,5,5,200,200,6520,6520,-0.001558966140693555,3.635387033166544e-05,0.09563556764661227,0.0915121168679307,6.71,4.0,0,33,0.20397590361445783,1236.9597615499256,0.1582608695652174,0.9426987060998152
999,1000,threshold_crossing,separated_control,10,5,5,0.09365016182995578,1580,5,5,200,990,6520,7310,-0.0015581731604196796,3.207548740196413e-05,0.0956383861976145,0.09151812400965852,6.176666666666667,3.0,0,30,0.19012048192771083,1343.7668645439828,0.1330418488444722,0.8840864440078585
999,1500,OFF,L_then_R,10,5,5,0.11828286243433431,2080,5,5,200,1700,8520,10020,-0.0019765337878007642,3.62908894899223e-05,0.12079192243356689,0.11558784942700821,,,,,,,,
999,1500,OFF,R_then_L,10,5,5,0.11828030026349537,2080,5,5,1700,200,10020,8520,-0.0019748043364076844,3.967052294303355e-05,0.12079018075953714,0.11558425209658424,,,,,,,,
999,1500,OFF,simultaneous,10,5,5,0.11828065865152933,2080,5,5,200,200,8520,8520,-0.001977599186523222,3.78761728473721e-05,0.12079347646628169,0.11558600069009822,,,,,,,,
999,1500,OFF,separated_control,10,5,5,0.11828399782944048,2080,5,5,200,1240,8520,9560,-0.0019777869347545754,3.6709612487101134e-05,0.12079521362364454,0.11558917058891997,,,,,,,,
