seed,arm,event_type,n_connections,n_tagged,tag_rate,h_tag_ratio,novelty_tag_ratio,auc_h_inverted,auc_novelty,auc_surprise,auc_pos,auc_neg,corr_h_tag_strength,corr_novelty_tag_strength,corr_surprise_tag_strength,shuffle_percentile_novelty_auc,shuffle_percentile_surprise_auc,topology_confound_flag,best_predictor,verdict
123,exact_replay,R,22425,116,0.005173,1.31067,0.847964,0.376417,0.408047,0.569267,0.413087,0.574015,0.318356,-0.388306,0.087564,0.0,0.9,False,neg,null
999,closed_loop,ALL,53820,233,0.004329,1.285309,0.92179,0.36908,0.431128,0.566607,0.464322,0.522271,0.063937,-0.205446,-0.179879,0.0,1.0,False,surprise,null
999,closed_loop,L,44850,213,0.004749,1.295203,0.913688,0.362469,0.424893,0.5569,0.484251,0.512151,0.073333,-0.188269,-0.208269,0.0,1.0,False,surprise,null
999,closed_loop,R,8970,20,0.00223,1.000086,1.006353,0.490246,0.494771,0.646028,0.403905,0.646782,0.631579,-0.649624,0.007519,0.52,1.0,False,neg,null
999,divergent_warmup_replay,ALL,53820,233,0.004329,1.299466,0.909156,0.363971,0.423725,0.576967,0.500448,0.500141,0.046892,-0.144103,-0.010151,0.0,1.0,False,surprise,null
999,divergent_warmup_replay,L,44850,213,0.004749,1.318479,0.894959,0.353021,0.412089,0.580935,0.531376,0.498818,0.072623,-0.154142,-0.006023,0.0,1.0,False,surprise,null
999,divergent_warmup_replay,R,8970,20,0.00223,0.902696,1.060333,0.541302,0.546369,0.525899,0.531782,0.421184,0.57594,-0.598496,0.154887,0.74,0.85,False,novelty,null
999,exact_replay,ALL,53820,233,0.004329,1.285309,0.92179,0.36908,0.431128,0.566607,0.464322,0.522271,0.063937,-0.205446,-0.179879,0.0,1.0,False,surprise,null
999,exact_replay,L,44850,213,0.004749,1.295203,0.913688,0.362469,0.424893,0.5569,0.484251,0.512151,0.073333,-0.188269,-0.208269,0.01,1.0,False,surprise,null
999,exact_replay,R,8970,20,0.00223,1.000086,1.006353,0.490246,0.494771,0.646028,0.403905,0.646782,0.631579,-0.649624,0.007519,0.49,1.0,False,neg,null
