run_id,arm,seed_env,seed_sched,code_sha,config_sha,t_decision,activity_L,activity_R,obs_hash,obs_schema_version,logit_none,logit_L,logit_R,logit_sim,prob_none,prob_L,prob_R,prob_sim,u_draw,chosen_event,payload_hash,applied_ok,expected_payload_hash,hash_match
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,2250,0.3492718,0.41206185,308e959ea17c0862,1.0,1.0,0.56030926,0.246359,-3.0,0.46877907,0.30200418,0.22063077,0.00858599,0.05532331,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,2500,0.33529136,0.39101566,d09561fb8fb68903,1.0,1.0,0.45507832,0.17645678,-3.0,0.49089953,0.28466635,0.21544298,0.00899114,0.23141016,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,2750,0.34222483,0.37973497,9162002853877102,1.0,1.0,0.39867487,0.21112415,-3.0,0.49486435,0.27122766,0.22484423,0.00906376,0.70868191,L,9695592248203d7a,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,3000,0.34228375,0.37820452,834648d9c1229964,1.0,1.0,0.3910226,0.21141875,-3.0,0.49585673,0.26969984,0.2253615,0.00908193,0.97353987,R,265aef72bfd57678,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,3250,0.34090981,0.38545603,b6723c2cf10b61df,1.0,1.0,0.42728014,0.20454907,-3.0,0.4917188,0.27732418,0.22195088,0.00900614,0.746711,L,9695592248203d7a,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,3500,0.33439293,0.3932867,cf55dad0cb08d95e,1.0,1.0,0.46643349,0.17196463,-3.0,0.48978027,0.28726075,0.21398833,0.00897064,0.91316055,R,265aef72bfd57678,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,3750,0.35124568,0.37859614,bf4eb2b194098751,1.0,1.0,0.39298071,0.2562284,-3.0,0.4905312,0.26732619,0.23315822,0.00898439,0.47804062,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,4000,0.33533723,0.39673005,60d49d13462370e7,1.0,1.0,0.48365025,0.17668615,-3.0,0.48685851,0.29050587,0.21371849,0.00891712,0.8805202,R,265aef72bfd57678,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,4250,0.31842294,0.3819082,56791dbbcc871ef1,1.0,1.0,0.40954098,0.09211469,-3.0,0.5061331,0.28043463,0.20416212,0.00927015,0.50009168,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,4500,0.30867674,0.37119701,33f0558366a598f6,1.0,1.0,0.35598503,0.04338371,-3.0,0.51875671,0.27244044,0.19930149,0.00950136,0.91139096,R,265aef72bfd57678,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,4750,0.30786104,0.39554488,ec6be2de814cc84d,1.0,1.0,0.47772438,0.03930521,-3.0,0.5014764,0.29746035,0.19187839,0.00918486,0.08641493,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,5000,0.30632438,0.39779755,778e038c7262fb91,1.0,1.0,0.48898777,0.03162188,-3.0,0.50052504,0.30025899,0.19004854,0.00916744,0.46420614,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,5250,0.31345879,0.37154267,4ecab91d80891a67,1.0,1.0,0.35771334,0.06729394,-3.0,0.51602485,0.27147451,0.20304931,0.00945132,0.46398088,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,5500,0.30346348,0.36945531,af3bf28f9604bf05,1.0,1.0,0.34727654,0.01731738,-3.0,0.52267161,0.2721164,0.19563893,0.00957306,0.61700285,L,9695592248203d7a,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,5750,0.29672127,0.36356894,fd57593d08ee1190,1.0,1.0,0.3178447,-0.01639363,-3.0,0.53029591,0.2680785,0.19191288,0.00971271,0.53610832,L,9695592248203d7a,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,6000,0.35762944,0.4081523,6b4d2b49f9e593fe,1.0,1.0,0.54076148,0.28814719,-3.0,0.46711198,0.29510478,0.22922779,0.00855545,0.62973599,L,9695592248203d7a,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,6250,0.34822946,0.38982116,72d9f1a6e7c687b2,1.0,1.0,0.44910582,0.24114729,-3.0,0.484742,0.27942184,0.2269578,0.00887836,0.68149219,L,9695592248203d7a,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,6500,0.32550554,0.39927862,7e4ea56f4cc5b2c7,1.0,1.0,0.4963931,0.12752771,-3.0,0.49005684,0.29616434,0.20480312,0.0089757,0.20846354,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,6750,0.32332444,0.38934388,61000e5d712b661f,1.0,1.0,0.44671938,0.11662221,-3.0,0.49831569,0.2865615,0.20599584,0.00912697,0.34842168,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,7000,0.31839145,0.36822265,c752b189c7fc0004,1.0,1.0,0.34111323,0.09195725,-3.0,0.51571499,0.26684488,0.20799448,0.00944565,0.36028724,none,,True,,
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,7250,0.33744363,0.40214621,93310ff473e52d4e,1.0,1.0,0.51073103,0.18721817,-3.0,0.48192485,0.29545579,0.2137926,0.00882676,0.48688681,L,9695592248203d7a,True,,
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,2000,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,2750,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,3000,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,3250,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,3500,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,4000,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,4500,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,5500,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,5750,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,6000,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,6250,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_exact_seed77,exact_replay,77,,b42d468,203543c2c3fd9e29,7250,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,2000,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,2750,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,3000,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,3250,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,3500,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,4000,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,4500,,,,,,,,,,,,,,R,265aef72bfd57678,True,265aef72bfd57678,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,5500,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,5750,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,6000,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,6250,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
phase10A3_perturbed_seed77,perturbed_replay,77,,b42d468,203543c2c3fd9e29,7250,,,,,,,,,,,,,,L,9695592248203d7a,True,9695592248203d7a,True
