run_id,arm,seed_env,seed_sched,code_sha,config_sha,t_decision,activity_L,activity_R,obs_hash,obs_schema_version,logit_none,logit_L,logit_R,logit_sim,prob_none,prob_L,prob_R,prob_sim,u_draw,chosen_event,payload_hash,applied_ok
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,4500,0.30908634,0.37138073,4042a2ab53d5bf05,1.0,1.0,0.35690364,0.0454317,-3.0,0.51841509,0.27251125,0.19957856,0.0094951,0.91139096,R,265aef72bfd57678,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,4750,0.33372207,0.39940481,642e518f0ce0c9ed,1.0,1.0,0.49702405,0.16861034,-3.0,0.48579352,0.29377311,0.21153575,0.00889762,0.08641493,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,5000,0.3193571,0.39281162,d6ac1900f841d118,1.0,1.0,0.4640581,0.0967855,-3.0,0.49783482,0.29129207,0.20175495,0.00911816,0.46420614,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,5250,0.31674405,0.38980485,ed5216e6a6f9da95,1.0,1.0,0.44902424,0.08372025,-3.0,0.50132672,0.28895827,0.20053289,0.00918212,0.46398088,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,5500,0.31110113,0.38815408,a016f1305b3238ea,1.0,1.0,0.44077039,0.05550565,-3.0,0.50534629,0.28888085,0.19651712,0.00925574,0.61700285,L,9695592248203d7a,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,5750,0.3176655,0.39757114,40b2ef7870685241,1.0,1.0,0.48785568,0.08832751,-3.0,0.49520235,0.29672986,0.19899784,0.00906995,0.53610832,L,9695592248203d7a,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,6000,0.35280843,0.36359564,4309f6db4a7027b7,1.0,1.0,0.31797822,0.26404216,-3.0,0.49926214,0.25242382,0.23916973,0.00914431,0.62973599,L,9695592248203d7a,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,6250,0.33150027,0.40608685,ea3ffa07a84001eb,1.0,1.0,0.53043426,0.15750133,-3.0,0.48210835,0.30144969,0.20761184,0.00883012,0.68149219,L,9695592248203d7a,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,6500,0.32515539,0.40691195,ae0d8b3ea90e44db,1.0,1.0,0.53455974,0.12577697,-3.0,0.48464633,0.30428938,0.20218768,0.00887661,0.20846354,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,6750,0.29573332,0.38885972,ba5963a1b32b8e7f,1.0,1.0,0.44429858,-0.02133342,-3.0,0.51226889,0.29387316,0.18447542,0.00938253,0.34842168,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,7000,0.31296004,0.36827216,0c5809152bce5143,1.0,1.0,0.34136079,0.06480018,-3.0,0.51857047,0.26838881,0.20354276,0.00949795,0.36028724,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,7250,0.31029798,0.37980252,9ea8c42a17d844e1,1.0,1.0,0.39901258,0.05148988,-3.0,0.51179606,0.28060242,0.19822765,0.00937387,0.48688681,none,,True
