seed,arm,event_type,subgraph,src_region,tgt_region,n_connections,n_tagged,tag_rate,mean_h_tagged,mean_h_untagged,h_tag_ratio,novelty_tag_ratio,mean_phi_tagged,mean_phi_untagged,auc_h_inverted,auc_novelty,auc_surprise,auc_pos,auc_neg,phi_mass,phi_mass_per_conn,tag_delta_mass,event_pair_dW_l1,shuffle_percentile_novelty,shuffle_percentile_surprise,high_h_tag_rate,low_h_tag_rate,within_auc_novelty,best_predictor,group_verdict
123,exact_replay,L,RM,R,M,636,0,0.0,nan,0.128561,nan,nan,nan,0.358073,nan,nan,nan,nan,nan,227.7346,0.358073,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,L,RR,R,R,2496,0,0.0,nan,0.12748,nan,nan,nan,0.352206,nan,nan,nan,nan,nan,879.106117,0.352206,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,ALL,ALL,ALL,22425,116,0.005173,0.155894,0.118942,1.31067,0.847964,0.448081,0.372819,0.376417,0.408047,0.569267,0.413087,0.574015,8369.20267,0.373209,0.0004,0.0004,0.0,0.91,0.007045,0.0033,0.408047,neg,novelty_inverse_surprise_pass
123,exact_replay,R,LL,L,L,4480,0,0.0,nan,0.131071,nan,nan,nan,0.415022,nan,nan,nan,nan,nan,1859.296734,0.415022,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,LM,L,M,1285,0,0.0,nan,0.117387,nan,nan,nan,0.371767,nan,nan,nan,nan,nan,477.720221,0.371767,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,LR,L,R,4375,48,0.010971,0.15192,0.117946,1.288044,0.901849,0.427675,0.368204,0.382887,0.440519,0.58966,0.416556,0.537401,1613.747477,0.368857,0.000129,0.000129,0.08,0.99,0.014625,0.007316,0.440519,surprise,novelty_inverse_surprise_pass
123,exact_replay,R,ML,M,L,1260,0,0.0,nan,0.119073,nan,nan,nan,0.375135,nan,nan,nan,nan,nan,472.67017,0.375135,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,MM,M,M,365,0,0.0,nan,0.114166,nan,nan,nan,0.360112,nan,nan,nan,nan,nan,131.440987,0.360112,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,MR,M,R,1140,0,0.0,nan,0.114091,nan,nan,nan,0.355681,nan,nan,nan,nan,nan,405.476762,0.355681,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,RL,R,L,4300,0,0.0,nan,0.118001,nan,nan,nan,0.368209,nan,nan,nan,nan,nan,1583.29942,0.368209,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,RM,R,M,1060,0,0.0,nan,0.113084,nan,nan,nan,0.354104,nan,nan,nan,nan,nan,375.349874,0.354104,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,R,RR,R,R,4160,68,0.016346,0.158698,0.111447,1.423976,0.770818,0.462486,0.346714,0.34584,0.355626,0.583236,0.423621,0.618926,1450.201024,0.348606,0.000271,0.000271,0.0,0.52,0.024038,0.008654,0.355626,neg,novelty_inverse
999,closed_loop,ALL,ALL,ALL,ALL,53820,233,0.004329,0.134403,0.104568,1.285309,0.92179,0.365813,0.320572,0.36908,0.431128,0.566607,0.464322,0.522271,17263.713038,0.320768,0.0011,0.0011,0.0,1.0,0.005946,0.002713,0.431128,surprise,novelty_inverse_surprise_pass
999,closed_loop,ALL,LL,L,L,11172,81,0.00725,0.14657,0.098946,1.481306,0.815796,0.414211,0.302469,0.302545,0.335751,0.499686,0.424138,0.513109,3388.231853,0.303279,0.000618,0.000618,0.0,0.13,0.011634,0.002865,0.335751,neg,novelty_inverse
999,closed_loop,ALL,LM,L,M,3276,9,0.002747,0.078112,0.112239,0.695941,1.231975,0.253061,0.341056,0.614529,0.675679,0.485937,0.63235,0.327722,1116.507807,0.340814,3e-06,3e-06,0.98,0.92,0.000611,0.004884,0.675679,novelty,novelty_pass
999,closed_loop,ALL,LR,L,R,10380,12,0.001156,0.099609,0.104095,0.956905,0.960843,0.328234,0.318878,0.483925,0.454001,0.564775,0.6995,0.575256,3310.06272,0.318889,0.000159,0.000159,0.27,0.89,0.001541,0.000771,0.454001,pos,novelty_inverse
999,closed_loop,ALL,ML,M,L,3540,18,0.005085,0.0884,0.107905,0.819243,1.155301,0.283011,0.328664,0.537999,0.628809,0.760206,0.614944,0.495504,1162.648369,0.328432,1.3e-05,1.3e-05,0.98,1.0,0.00339,0.00678,0.628809,surprise,novelty_pass
999,closed_loop,ALL,MM,M,M,1008,0,0.0,nan,0.110293,nan,nan,nan,0.338915,nan,nan,nan,nan,nan,341.626254,0.338915,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,ALL,MR,M,R,2892,0,0.0,nan,0.11454,nan,nan,nan,0.351673,nan,nan,nan,nan,nan,1017.039691,0.351673,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,ALL,RL,R,L,9816,98,0.009984,0.14677,0.105173,1.395511,0.907573,0.366888,0.324143,0.330876,0.414818,0.556111,0.393932,0.527334,3185.979559,0.32457,0.000266,0.000266,0.0,1.0,0.014874,0.005094,0.414818,surprise,novelty_inverse_surprise_pass
999,closed_loop,ALL,RM,R,M,3192,8,0.002506,0.111965,0.105176,1.064555,1.066862,0.359532,0.323439,0.433888,0.576005,0.738968,0.651617,0.418656,1032.705167,0.323529,3e-06,3e-06,0.76,1.0,0.003759,0.001253,0.576005,surprise,novelty_weak
999,closed_loop,ALL,RR,R,R,8544,7,0.000819,0.096422,0.103166,0.934628,0.992972,0.220201,0.317134,0.494369,0.488495,0.782409,0.693469,0.789136,2708.911618,0.317054,3.9e-05,3.9e-05,0.44,1.0,0.000468,0.00117,0.488495,neg,surprise_pass
999,closed_loop,L,ALL,ALL,ALL,44850,213,0.004749,0.138203,0.106704,1.295203,0.913688,0.37432,0.321361,0.362469,0.424893,0.5569,0.484251,0.512151,14424.331217,0.321613,0.0009,0.0009,0.0,1.0,0.006689,0.002809,0.424893,surprise,novelty_inverse_surprise_pass
999,closed_loop,L,LL,L,L,9310,81,0.0087,0.14657,0.100922,1.452305,0.815314,0.414211,0.30329,0.309392,0.33508,0.495621,0.464735,0.525216,2832.611753,0.304255,0.000618,0.000618,0.0,0.04,0.013963,0.003437,0.33508,neg,novelty_inverse
999,closed_loop,L,LM,L,M,2730,9,0.003297,0.078112,0.114549,0.681911,1.231622,0.253061,0.343515,0.61301,0.675609,0.48238,0.68737,0.331782,936.982611,0.343217,3e-06,3e-06,0.97,0.81,0.000733,0.005861,0.675609,pos,novelty_pass
999,closed_loop,L,LR,L,R,8650,0,0.0,nan,0.106241,nan,nan,nan,0.319545,nan,nan,nan,nan,nan,2764.065431,0.319545,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,L,ML,M,L,2950,18,0.006102,0.0884,0.110152,0.802529,1.155144,0.283011,0.330014,0.540037,0.628202,0.754282,0.637733,0.496855,972.695846,0.329727,1.3e-05,1.3e-05,1.0,1.0,0.004068,0.008136,0.628202,surprise,novelty_pass
999,closed_loop,L,MM,M,M,840,0,0.0,nan,0.112619,nan,nan,nan,0.342899,nan,nan,nan,nan,nan,288.035245,0.342899,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,L,MR,M,R,2410,0,0.0,nan,0.116916,nan,nan,nan,0.352049,nan,nan,nan,nan,nan,848.439051,0.352049,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,L,RL,R,L,8180,98,0.01198,0.14677,0.107299,1.367858,0.907126,0.366888,0.324123,0.338336,0.414342,0.550657,0.435123,0.520861,2655.515898,0.324635,0.000266,0.000266,0.0,1.0,0.017848,0.006112,0.414342,surprise,novelty_inverse_surprise_pass
999,closed_loop,L,RM,R,M,2660,7,0.002632,0.126783,0.107321,1.181352,1.001566,0.407474,0.325382,0.376016,0.526951,0.830542,0.644661,0.403317,866.0918,0.325598,1e-06,1e-06,0.59,1.0,0.004511,0.000752,0.526951,surprise,surprise_pass
999,closed_loop,L,RR,R,R,7120,0,0.0,nan,0.105284,nan,nan,nan,0.317401,nan,nan,nan,nan,nan,2259.893583,0.317401,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,R,ALL,ALL,ALL,8970,20,0.00223,0.093925,0.093917,1.000086,1.006353,0.275207,0.316634,0.490246,0.494771,0.646028,0.403905,0.646782,2839.381821,0.316542,0.0002,0.0002,0.49,0.99,0.00223,0.00223,0.494771,neg,surprise_pass
999,closed_loop,R,LL,L,L,1862,0,0.0,nan,0.089153,nan,nan,nan,0.2984,nan,nan,nan,nan,nan,555.6201,0.2984,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,R,LM,L,M,546,0,0.0,nan,0.100731,nan,nan,nan,0.328801,nan,nan,nan,nan,nan,179.525196,0.328801,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,R,LR,L,R,1730,12,0.006936,0.099609,0.093291,1.06772,0.962005,0.328234,0.315517,0.454016,0.454889,0.60681,0.467695,0.589251,545.997289,0.315605,0.000159,0.000159,0.32,0.97,0.009249,0.004624,0.454889,surprise,novelty_inverse_surprise_pass
999,closed_loop,R,ML,M,L,590,0,0.0,nan,0.096737,nan,nan,nan,0.321953,nan,nan,nan,nan,nan,189.952523,0.321953,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,R,MM,M,M,168,0,0.0,nan,0.098661,nan,nan,nan,0.318994,nan,nan,nan,nan,nan,53.59101,0.318994,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,R,MR,M,R,482,0,0.0,nan,0.102661,nan,nan,nan,0.349794,nan,nan,nan,nan,nan,168.600641,0.349794,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
999,closed_loop,R,RL,R,L,1636,0,0.0,nan,0.094669,nan,nan,nan,0.324244,nan,nan,nan,nan,nan,530.463661,0.324244,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
