step,tag_mass,n_tagged,slow_l1,slow_max_abs,fast_l1,eff_l1,refractory_remaining,arm
6375,0.0003244322850265726,42,0.00019266173751993074,3.832242811539217e-05,1901.1589724350424,1901.1589154246392,134,repeated_x3
6750,0.0003009899391880923,42,0.00022424071869433496,4.364062469923114e-05,1883.4566072948712,1883.456541470916,260,repeated_x3
7125,0.00027924145553218105,42,0.00025280884828707,4.8451765640342224e-05,1865.9207536921544,1865.9206798949622,386,repeated_x3
0,0.0,0,0.0,0.0,2228.7921201093573,2228.7921201093573,0,single
375,0.0,0,0.0,0.0,2207.996671937919,2207.996671937919,0,single
750,0.0,0,0.0,0.0,2187.587894680869,2187.587894680869,0,single
1125,0.0,0,0.0,0.0,2167.215058411954,2167.215058411954,0,single
1500,0.0,0,0.0,0.0,2147.0308046296195,2147.0308046296195,0,single
1875,0.0,0,0.0,0.0,2127.035781630377,2127.035781630377,0,single
2250,0.0,0,0.0,0.0,2107.231413418932,2107.231413418932,251,single
2625,9.753099120270085e-05,13,9.99600079987976e-06,4.003117497646106e-06,2087.6061629010296,2087.606158229394,377,single
3000,9.048374180347347e-05,13,9.99600079987976e-06,4.003117497646106e-06,2068.1668432172683,2068.1668385456323,2,single
3375,8.394570207680737e-05,13,1.9038947584100558e-05,7.624563636649247e-06,2048.9061918579337,2048.9061829600732,128,single
3750,7.788007830703559e-05,13,2.7219707888084618e-05,1.090072831215839e-05,2029.8287102178763,2029.8286974967336,254,single
4125,7.225273536411021e-05,13,3.4620485615541754e-05,1.3864531878213481e-05,2010.9279743591032,2010.9279581792039,380,single
4500,6.70320046034742e-05,13,3.4620485615541754e-05,1.3864531878213481e-05,1992.202384332225,1992.2023681523253,5,single
4875,6.218850564641904e-05,13,4.1315647059711144e-05,1.6545755946046928e-05,1973.6536706816871,1973.653651372801,131,single
5250,5.769498103797194e-05,13,4.1315647059711144e-05,1.6545755946046928e-05,1955.275679903703,1955.2756605948168,0,single
5625,5.352614285182808e-05,13,4.1315647059711144e-05,1.6545755946046928e-05,1937.0650043494436,1937.0649850405575,0,single
6000,4.965853037907533e-05,13,4.1315647059711144e-05,1.6545755946046928e-05,1919.0275594629427,1919.0275401540566,0,single
6375,4.60703780998359e-05,13,4.1315647059711144e-05,1.6545755946046928e-05,1901.1555176407498,1901.1554983318638,0,single
6750,4.2741493194816546e-05,13,4.1315647059711144e-05,1.6545755946046928e-05,1883.4512816724541,1883.4512623635676,0,single
7125,3.96531419074474e-05,13,4.1315647059711144e-05,1.6545755946046928e-05,1865.915520359523,1865.915501050637,0,single
0,0.0,0,0.0,0.0,2228.7921201093573,2228.7921201093573,0,baseline
375,0.0,0,0.0,0.0,2207.996671937919,2207.996671937919,0,baseline
750,0.0,0,0.0,0.0,2187.587894680869,2187.587894680869,0,baseline
1125,0.0,0,0.0,0.0,2167.215058411954,2167.215058411954,0,baseline
1500,0.0,0,0.0,0.0,2147.0308046296195,2147.0308046296195,0,baseline
1875,0.0,0,0.0,0.0,2127.035781630377,2127.035781630377,0,baseline
2250,0.0,0,0.0,0.0,2107.2311205980172,2107.2311205980172,0,baseline
2625,0.0,0,0.0,0.0,2087.6073520637224,2087.6073520637224,0,baseline
3000,0.0,0,0.0,0.0,2068.1706429608994,2068.1706429608994,0,baseline
3375,0.0,0,0.0,0.0,2048.9136830221396,2048.9136830221396,0,baseline
3750,0.0,0,0.0,0.0,2029.8388599233142,2029.8388599233142,0,baseline
4125,0.0,0,0.0,0.0,2010.9392080894593,2010.9392080894593,0,baseline
4500,0.0,0,0.0,0.0,1992.210604572433,1992.210604572433,0,baseline
4875,0.0,0,0.0,0.0,1973.6595068795452,1973.6595068795452,0,baseline
5250,0.0,0,0.0,0.0,1955.287842826467,1955.287842826467,0,baseline
5625,0.0,0,0.0,0.0,1937.0792732837397,1937.0792732837397,0,baseline
6000,0.0,0,0.0,0.0,1919.0416333225494,1919.0416333225494,0,baseline
6375,0.0,0,0.0,0.0,1901.17216090187,1901.17216090187,0,baseline
6750,0.0,0,0.0,0.0,1883.4709307335677,1883.4709307335677,0,baseline
7125,0.0,0,0.0,0.0,1865.9321714254697,1865.9321714254697,0,baseline
