run_id,arm,seed_env,epsilon,code_sha,config_sha,t_decision,activity_L,activity_R,obs_hash,chosen_event,payload_hash,expected_payload_hash,hash_match
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,5750,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,6000,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,6250,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,6750,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,7000,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2B2_eps0.02_perturbed_seed42,perturbed_replay,42,0.02,c3d596d,7bb4d76456c48b56,2500,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_perturbed_seed42,perturbed_replay,42,0.02,c3d596d,7bb4d76456c48b56,2750,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2B2_eps0.02_perturbed_seed42,perturbed_replay,42,0.02,c3d596d,7bb4d76456c48b56,3250,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_perturbed_seed42,perturbed_replay,42,0.02,c3d596d,7bb4d76456c48b56,3500,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_perturbed_seed42,perturbed_replay,42,0.02,c3d596d,7bb4d76456c48b56,3750,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_perturbed_seed42,perturbed_replay,42,0.02,c3d596d,7bb4d76456c48b56,4750,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2B2_eps0.02_perturbed_seed42,perturbed_replay,42,0.02,c3d596d,7bb4d76456c48b56,5000,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
