seed,arm,event_type,subgraph,n_connections,trace_src_positive_rate,phi_tgt_positive_rate,raw_support_rate,dW_support_rate,tag_support_rate,raw_vs_trace_phi_mismatch_count,raw_vs_dW_mismatch_count,dW_vs_tag_mismatch_count,trace_src_l1,phi_tgt_l1,raw_l1,dW_l1,tag_delta_l1,raw_l1_to_dW_l1_scale,corr_h_trace_src,corr_h_phi_tgt,support_geometry_verdict
77,closed_loop,L,LR,8046,0.09048,0.0,0.0,0.0,0.0,0,0,0,4.208038,0.0,0.0,0.0,0.0,nan,0.081747,nan,trace_phi_support_identity_confirmed
77,closed_loop,L,ML,1818,0.026403,0.084158,0.0,0.0,0.0,0,0,0,0.12457,0.615928,0.0,0.0,0.0,nan,-0.063573,0.012059,trace_phi_support_identity_confirmed
77,closed_loop,L,MM,531,0.030132,0.016949,0.0,0.0,0.0,0,0,0,0.041523,0.01763,0.0,0.0,0.0,nan,-0.05766,-0.065911,trace_phi_support_identity_confirmed
77,closed_loop,L,MR,2061,0.02329,0.0,0.0,0.0,0.0,0,0,0,0.12457,0.0,0.0,0.0,0.0,nan,-0.06224,nan,trace_phi_support_identity_confirmed
77,closed_loop,L,RL,7875,0.181714,0.116571,0.029714,0.029714,0.029714,0,0,0,5.495115,4.427098,0.0045,0.000601,0.000601,0.133561,-0.073223,0.098384,trace_phi_support_identity_confirmed
77,closed_loop,L,RM,1908,0.198113,0.04717,0.014151,0.014151,0.014151,0,0,0,1.268035,0.176299,0.000143,1.9e-05,1.9e-05,0.133566,-0.172945,-0.109521,trace_phi_support_identity_confirmed
77,closed_loop,L,RR,8217,0.153341,0.0,0.0,0.0,0.0,0,0,0,5.283948,0.0,0.0,0.0,0.0,nan,-0.06138,nan,trace_phi_support_identity_confirmed
77,closed_loop,R,ALL,22425,0.098818,0.072464,0.007492,0.007492,0.007492,0,0,0,9.807434,8.085134,0.004316,0.0004,0.0004,0.092677,0.062742,-0.014876,trace_phi_support_identity_confirmed
77,closed_loop,R,LL,4460,0.081614,0.0,0.0,0.0,0.0,0,0,0,1.50425,0.0,0.0,0.0,0.0,nan,0.149782,nan,trace_phi_support_identity_confirmed
77,closed_loop,R,LM,1045,0.065072,0.0,0.0,0.0,0.0,0,0,0,0.238667,0.0,0.0,0.0,0.0,nan,0.153867,nan,trace_phi_support_identity_confirmed
77,closed_loop,R,LR,4470,0.081432,0.16443,0.016107,0.016107,0.016107,0,0,0,1.599216,3.596651,0.001785,0.000173,0.000173,0.096762,0.089379,-0.044214,trace_phi_support_identity_confirmed
77,closed_loop,R,ML,1010,0.023762,0.0,0.0,0.0,0.0,0,0,0,0.047341,0.0,0.0,0.0,0.0,nan,-0.076439,nan,trace_phi_support_identity_confirmed
77,closed_loop,R,MM,295,0.027119,0.0,0.0,0.0,0.0,0,0,0,0.01578,0.0,0.0,0.0,0.0,nan,-0.071293,nan,trace_phi_support_identity_confirmed
77,closed_loop,R,MR,1145,0.020961,0.165939,0.01048,0.01048,0.01048,0,0,0,0.047341,1.091975,0.000117,1.1e-05,1.1e-05,0.096979,-0.074657,-0.064437,trace_phi_support_identity_confirmed
77,closed_loop,R,RL,4375,0.145371,0.0,0.0,0.0,0.0,0,0,0,2.89867,0.0,0.0,0.0,0.0,nan,0.015999,nan,trace_phi_support_identity_confirmed
77,closed_loop,R,RM,1060,0.158491,0.0,0.0,0.0,0.0,0,0,0,0.668888,0.0,0.0,0.0,0.0,nan,-0.104322,nan,trace_phi_support_identity_confirmed
77,closed_loop,R,RR,4565,0.122673,0.153341,0.018401,0.018401,0.018401,0,0,0,2.78728,3.396508,0.002415,0.000216,0.000216,0.08945,0.029707,-0.046557,trace_phi_support_identity_confirmed
77,divergent_warmup_replay,ALL,ALL,62790,0.111308,0.05985,0.007852,0.007852,0.007852,0,0,0,30.93939,17.295009,0.01077,0.0013,0.0013,0.12072,0.032888,-0.00171,trace_phi_support_identity_confirmed
77,divergent_warmup_replay,ALL,LL,12488,0.087444,0.074231,0.005125,0.005125,0.005125,0,0,0,5.462401,3.9024,0.00181,0.00028,0.00028,0.154643,0.143715,0.02633,trace_phi_support_identity_confirmed
77,divergent_warmup_replay,ALL,LM,2926,0.06972,0.012303,0.0,0.0,0.0,0,0,0,0.866674,0.07052,0.0,0.0,0.0,nan,0.153741,-0.048196,trace_phi_support_identity_confirmed
77,divergent_warmup_replay,ALL,LR,12516,0.087248,0.058725,0.005753,0.005753,0.005753,0,0,0,5.807254,3.596651,0.001785,0.000173,0.000173,0.096762,0.078013,-0.07401,trace_phi_support_identity_confirmed
